candidate_voting_number,candidate_id,candidate_name,candidate_surname,candidate_firstname,candidate_political_party,candidate_gender
1,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M
2,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M
3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M
4,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M
5,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M
6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M
7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M
8,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M
9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F
10,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M
11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M
12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M
13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M
14,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M
15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M
16,1_1_1_136_256,NGALASI,KURISINI,AGGREY,INDEPENDANT,M
17,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M
18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M
19,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M
20,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M
21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M
22,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M
23,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M
24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M
25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F
26,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M
