province_id,1_1_1_128_248,1_1_1_129_249,1_1_1_130_250,1_1_1_131_251,1_1_1_132_252,1_1_1_133_253,1_1_1_134_254,1_1_1_135_255,1_1_1_136_256,1_1_1_137_257,1_1_1_138_258,1_1_1_139_259,1_1_1_140_260,1_1_1_141_261,1_1_1_142_262,1_1_1_143_263,1_1_1_144_264,1_1_1_145_265,1_1_1_146_266,1_1_1_147_267,1_1_1_148_268,1_1_1_149_269,1_1_1_150_270,1_1_1_151_271,1_1_1_152_272,1_1_1_153_273,1_1_1_999_999
1,779,2863,398,1169,372,7645,2811,123820,13929,210169,375,1971,399,767,388,1382802,518,727,357,617,898,869,460,398,585,217,0
2,528,600,473,2036,343,636,616,22086,2906,8544,233,914,245,457,374,735928,434,691,191,847,459,887,322,775,365,414,0
3,450,278,107,516,246,23963,265,22660,360,176602,229,357,108,290,100,401903,171,283,99,432,177,558,278,355,273,187,0
4,528,629,199,589,347,144946,464,35551,13373,498241,151,290,312,273,136,398449,143,216,114,414,268,389,210,375,191,226,0
5,322,1612,202,1142,240,586,517,5529,286,3989,328,373,597,336,410,376104,263,282,117,545,327,437,175,519,187,222,0
6,138,235,137,555,185,114,180,9269,654,1789,70,218,78,302,399,234831,158,142,71,197,15864,184,103,269,126,101,0
7,105,143,72,708,43,86,92,8207,162,926,108,257,48,122,81,333054,91,164,63,110,388,141,80,281,69,67,0
8,286,544,164,821,104,156,550,18415,357,3290,85,370,75,296,159,583651,244,170,81,260,331,349,154,417,155,130,0
9,211,227,86,254,58,554,181,10076,225,3200,50,260,42,161,110,412667,45,85,49,89,569,172,89,137,601,69,0
10,180,75,79,403,78,75,127,5871,114,1852,35,1827,60,107,143,264109,9741,74,44,207,411,176,104,185,76,69,0
11,563,2187,228,2763,396,590,995,92848,540,3543,196,570,349,357,344,439380,380,564,114,998,567,874,392,903,253,268,0
12,302,417,241,1263,148,148,239,15881,175,1308,142,473,153,166,170,150277,226,357,119,780,321,666,179,544,255,138,0
13,1339,1334,581,3740,681,1255,1051,28216,593,5351,934,1054,724,822,795,280260,972,1638,520,2294,1649,2950,788,2161,698,543,0
14,1673,2459,870,42931,1071,1082,1397,315063,1399,9788,564,1097,639,1042,694,624933,1463,1504,378,1785,905,3042,1100,2642,649,957,0
15,555,652,217,2345,205,558,1737,104169,560,14737,380,734,235,268,260,1247819,247,661,96,696,361,720,271,613,225,254,0
16,505,707,137,1103,222,267,25470,118432,335,2241,2397,441,114,204,169,881157,141,2896,113,412,298,330,286,323,132,138,0
17,1332,1264,343,1283,207,374,395,239684,295,1034,144,578,201,346,230,156925,275,418,104,653,292,527,479,932,294,175,0
18,1008,2437,311,1204,423,484,989,712318,550,2896,254,933,211,834,329,337783,436,554,345,718,317,1094,889,1124,397,264,0
19,1295,340,218,633,183,152,246,563850,90,1111,138,695,130,500,153,65873,244,273,557,387,177,630,584,668,409,161,0
20,553,420,111,379,148,144,315,403146,120,829,92,330,125,331,147,55724,186,218,144,229,112,407,622,490,142,73,0
21,792,1972,159,705,285,187,696,311507,102,1218,262,515,125,398,214,67927,325,412,224,559,351,792,523,775,247,162,0
22,135,13227,125,1311,75,85,79,5392,85,934,85,179,109,146,135,571855,83,157,62,203,152,248,79,202,97,90,0
23,362,906,152,618,545,180,117,59023,53,2494,81,471,125,387,197,631504,121,201,89,226,266,389,265,307,294,96,0
24,53,258,31,711,29,39,37,291,26,184,41,76,29,52,66,540800,40,70,24,126,59,92,49,99,59,36,0
25,186,246,68,540,141,16696,129,24894,185,3581,176,247,53,269,94,1030300,86,939,47,155,89,400,129,274,146,106,0
26,53,274,58,265,25,63,31,1756,51,425,26,77,25,83,26,1005057,26,54,17,60,43,513,28,97,26,19,0
27,0,2,0,1,1,1,31,195,2,30,0,0,1,0,0,1167,0,5,0,0,0,0,0,0,0,0,1
28,0,0,0,0,1,2,65,207,4,52,0,4,0,0,0,1086,1,0,0,0,0,0,0,0,0,0,12
29,0,0,0,0,0,1,10,54,1,13,0,1,0,2,0,217,1,0,0,0,0,0,0,0,0,0,3
30,0,0,0,0,0,0,6,18,0,6,0,3,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0
31,0,0,5,0,1,2,50,110,3,101,0,6,1,1,0,1697,0,0,0,0,0,2,1,0,3,0,12
