circonscription_id,circonscription,province_id
100001,BANDALUNGWA,1
100002,BARUMBU,1
100003,BUMBU,1
100004,GOMBE,1
100005,KALAMU,1
100006,KASA-VUBU,1
100007,KIMBANSEKE,1
100008,KINSHASA,1
100009,KINTAMBO,1
100010,KISENSO,1
100011,LEMBA,1
100012,LIMETE,1
100013,LINGWALA,1
100014,MAKALA,1
100015,MALUKU,1
100016,MASINA,1
100017,MATETE,1
100018,MONT-NGAFULA,1
100019,NDJILI,1
100020,NGABA,1
100021,NGALIEMA,1
100022,NGIRI-NGIRI,1
100023,NSELE,1
100024,SELEMBAO,1
2011,MATADI VILLE,2
2012,BOMA VILLE,2
2024,MOANDA,2
2031,TSHELA,2
2032,SEKE-BANZA,2
2033,LUKULA,2
2041,MBANZA-NGUNGU,2
2042,SONGOLOLO,2
2043,LUOZI,2
2051,MADIMBA,2
2052,KASANGULU,2
2053,KIMVULA,2
3042,KENGE VILLE,3
3051,KENGE,3
3052,FESHI,3
3053,KAHEMBA,3
3054,KASONGO-LUNDA,3
3055,POPOKABAKA,3
3011,BANDUNDU VILLE,4
3012,KIKWIT VILLE,4
3031,BULUNGU,4
3032,MASI-MANIMBA,4
3033,BAGATA,4
3034,IDIOFA,4
3035,GUNGU,4
3021,INONGO,5
3022,KIRI,5
3023,OSHWE,5
3024,KUTU,5
3025,MUSHIE,5
3026,BOLOBO,5
3028,YUMBI,5
3039,INONGO VILLE,5
4011,MBANDAKA VILLE,6
4022,BOLOMBA,6
4023,INGENDE,6
4024,BIKORO,6
4025,LUKOLELA,6
4026,MANKANZA,6
4027,BOMONGO,6
4012,GBADOLITE VILLE,7
4051,MOBAYI-MBONGO,7
4052,YAKOMA,7
4053,BUSINGA,7
4054,BOSOBOLO,7
4013,ZONGO VILLE,8
4016,GEMENA VILLE,8
4031,GEMENA,8
4032,BUDJALA,8
4033,KUNGU,8
4034,LIBENGE,8
4017,LISALA VILLE,9
4061,LISALA,9
4062,BUMBA,9
4063,BONGANDANGA,9
4019,BOENDE VILLE,10
4071,BOENDE,10
4072,BEFALE,10
4073,DJOLU,10
4074,IKELA,10
4075,BOKUNGU,10
4076,MONKOTO,10
5011,KISANGANI VILLE,11
5021,BANALIA,11
5022,BAFWASENDE,11
5023,UBUNDU,11
5024,OPALA,11
5025,ISANGI,11
5026,YAHUMA,11
5027,BASOKO,11
5031,BUTA,12
5032,AKETI,12
5033,BONDO,12
5034,ANGO,12
5035,BAMBESA,12
5036,POKO,12
5047,BUTA VILLE,12
5041,RUNGU,13
5042,NIANGARA,13
5043,DUNGU,13
5044,FARADJE,13
5045,WATSA,13
5046,WAMBA,13
5057,ISIRO VILLE,13
5040,BUNIA VILLE,14
5051,IRUMU,14
5052,MAMBASA,14
5053,DJUGU,14
5054,MAHAGI,14
5055,ARU,14
6131,GOMA VILLE,15
6132,WALIKALE,15
6133,LUBERO,15
6134,BENI,15
6137,NYIRAGONGO,15
6138,BENI VILLE,15
6139,BUTEMBO VILLE,15
6241,WALUNGU,16
6242,UVIRA,16
6243,FIZI,16
6244,MWENGA,16
6245,SHABUNDA,16
6246,KALEHE,16
6247,IDJWI,16
6248,KABARE,16
6249,BUKAVU VILLE,16
6311,KINDU VILLE,17
6321,KAILO,17
6322,KIBOMBO,17
6323,PUNIA,17
6324,LUBUTU,17
6325,PANGI,17
6326,KASONGO,17
6327,KABAMBARE,17
7011,LUBUMBASHI VILLE,18
7012,LIKASI VILLE,18
7071,KIPUSHI,18
7072,SAKANIA,18
7073,KASENGA,18
7074,MITWABA,18
7075,PWETO,18
7076,KAMBOVE,18
7027,KAMINA VILLE,19
7051,KAMINA,19
7052,KANIAMA,19
7053,KABONGO,19
7054,MALEMBA-NKULU,19
7055,BUKAMA,19
7021,KOLWEZI VILLE,20
7033,MUTSHATSHA,20
7034,LUBUDI,20
7041,DILOLO,20
7042,SANDOA,20
7043,KAPANGA,20
7026,KALEMIE VILLE,21
7061,KALEMIE,21
7062,MOBA,21
7063,MANONO,21
7064,KABALO,21
7065,KONGOLO,21
7066,NYUNZU,21
8020,KABINDA VILLE,22
8041,LUILU (MWENE-DITU),22
8042,KAMIJI,22
8043,NGANDAJIKA,22
8044,KABINDA,22
8045,MWENE-DITU VILLE,22
8046,LUBAO,22
8029,LUSAMBO VILLE,23
8030,LUMUMBA VILLE,23
8031,LUSAMBO,23
8032,KOLE,23
8033,LOMELA,23
8034,KATAKO-KOMBE,23
8035,LUBEFU,23
8036,LODJA,23
8011,MBUJI-MAYI VILLE,24
8021,MIABI,24
8022,KABEYA-KAMWANGA,24
8023,LUPATAPATA,24
8024,KATANDA,24
8025,TSHILENGE,24
9031,LUEBO,25
9032,TSHIKAPA,25
9033,ILEBO,25
9034,MWEKA,25
9035,DEKESE,25
9036,TSHIKAPA VILLE,25
9011,KANANGA VILLE,26
9021,DIBAYA,26
9022,LUIZA,26
9023,KAZUMBA,26
9024,DEMBA,26
9025,DIMBELENGE,26
27,AFRIQUE DU SUD,27
28,BELGIQUE,28
29,CANADA,29
30,ETATS-UNIS D'AMERIQUE,30
31,FRANCE,31
